label,kind,checkpoint,decoder,duration,steps,n_seeds,n_warm,gen_min_ms,gen_med_ms,gen_max_ms,dec_min_ms,dec_med_ms,dec_max_ms,total_med_ms,wall_s
2B-turbo 60s,tensorrt,acestep-v15-turbo,decoder_mixed_b8_60s,58.0,8,5,4,120.13602256774902,120.49388885498047,124.56345558166504,45.035600662231445,46.163082122802734,49.539804458618164,166.6569709777832,12.84254503250122
2B-turbo refit 60s,tensorrt,acestep-v15-turbo,decoder_mixed_refit_b8_60s,58.0,8,5,4,128.0956268310547,131.19184970855713,132.00998306274414,46.52738571166992,47.065138816833496,48.546791076660156,178.25698852539062,13.757132530212402
2B-turbo 240s,tensorrt,acestep-v15-turbo,decoder_mixed_b8_240s,238.0,8,5,4,2378.7829875946045,3873.4267950057983,4576.167821884155,190.04034996032715,303.019642829895,1137.6473903656006,4176.446437835693,43.3194477558136
2B-turbo refit 240s,tensorrt,acestep-v15-turbo,decoder_mixed_refit_b8_240s,238.0,8,5,4,3943.934440612793,4235.528349876404,5229.469776153564,353.2223701477051,502.3214817047119,820.6593990325928,4737.849831581116,39.67493772506714
2B-base 60s,tensorrt,acestep-v15-base,decoder_base_mixed_b8_60s,58.0,8,5,4,125.27155876159668,126.14166736602783,129.2245388031006,44.04187202453613,46.27978801727295,48.23756217956543,172.42145538330078,12.447460651397705
2B-base refit 60s,tensorrt,acestep-v15-base,decoder_base_mixed_refit_b8_60s,58.0,8,5,4,124.47333335876465,126.74856185913086,127.17390060424805,45.35317420959473,45.85862159729004,46.030282974243164,172.6071834564209,13.504301309585571
XL-turbo 60s,tensorrt,acestep-v15-xl-turbo,decoder_xl-turbo_bf16mix_dynbatch_b8_60s,58.0,8,5,4,328.64952087402344,349.1131067276001,368.11208724975586,46.1275577545166,52.196621894836426,55.10067939758301,401.3097286224365,23.951327323913574
PT 2B-turbo 60s,pytorch,acestep-v15-turbo,,58.0,8,5,4,420.20606994628906,435.3063106536865,439.57066535949707,202.70419120788574,205.32715320587158,210.65330505371094,640.6334638595581,14.141878843307495
PT 2B-turbo 240s,pytorch,acestep-v15-turbo,,238.0,8,5,4,1026.9989967346191,1037.1580123901367,1048.3794212341309,852.4668216705322,887.851357460022,927.5879859924316,1925.0093698501587,20.724472522735596
PT 2B-base 60s,pytorch,acestep-v15-base,,58.0,8,5,4,423.97260665893555,427.4388551712036,442.7616596221924,207.0026397705078,210.59322357177734,211.4241123199463,638.032078742981,14.330912590026855
PT XL-turbo 60s,pytorch,acestep-v15-xl-turbo,,58.0,8,5,4,780.9088230133057,791.6301488876343,798.7222671508789,206.2232494354248,209.16509628295898,211.5609645843506,1000.7952451705933,20.223812103271484
